trial_id,controller,base_mass_kg,target_x,target_y,target_z,final_error_m,max_base_angle_deg,base_omega_integral,effort_integral,smoothness_integral,min_manipulability,precision_success,base_stable_success,original_base_mass_kg,inertia_scale,new_base_inertia_x,new_base_inertia_y,new_base_inertia_z,mean_mu,mean_lambda
8,clik,100.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.35824187065365065,26.24364786694351,0.6927872466277507,13.932379974517747,287876.72028659185,8.156479983206877e-05,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,nan
8,dls,100.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.3177769344691488,26.345624869656643,0.5059150684963136,3.048239695159206,10.83027322648482,0.007927838438277561,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,0.04
8,fixed_rns,100.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.3021434883560512,27.67843083556963,0.569664075321392,8.50626555677871,16.588413973241263,0.0264692747036138,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,8.0,0.04
8,react_ns,100.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.17631272763057382,27.31958632318698,0.512390576613842,3.59637516244979,7.38918074793902,0.09782971082190987,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,33.266391705761734,0.11273505666793675
9,clik,100.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.00035838710229183337,24.61279064359248,0.4312405838882175,1.1705454302472469,25.107039660534845,0.11000570956052082,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,nan
9,dls,100.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.00038317639232780814,24.60319327986888,0.43096014202023275,1.1559851889403896,24.584741760633793,0.11014513602937903,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,0.04
9,fixed_rns,100.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.0004216700334460786,24.78532633602752,0.4613656229925158,2.922882738221179,59.978370484233935,0.10501670067019298,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,8.0,0.04
9,react_ns,100.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.0034220030036012368,24.57174464416029,0.45999468997222426,1.9671421176861554,15.542105643233095,0.10917915579268249,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,62.818691501586954,0.10544799916944612
10,clik,100.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.4111756164120727,26.65022053808353,0.728340855104458,15.837526927331048,323743.4727510576,8.176586341939374e-05,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,nan
10,dls,100.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.3773812371907713,26.709266801633927,0.5287290307535185,3.114077261441908,11.829614213806224,0.0035439040583661006,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,0.04
10,fixed_rns,100.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.4865926177644757,27.262833427296147,0.6466386741845562,9.761793647041959,20.09877017246076,0.018142067053839393,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,8.0,0.04
10,react_ns,100.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.3079192654309303,22.146783592526926,0.4067576911155315,3.500411792250158,10.26947036417752,0.10808213665386164,0,0,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,20.144065016966586,0.10971033431720921
11,clik,100.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.23092748434735808,27.241637242756738,0.49621078822624126,2.898194881550991,18.353845075493897,0.06822526822516457,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,nan
11,dls,100.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.2265439765025469,27.301984297033798,0.49768025694844437,2.878900490576279,17.6213915194134,0.06924353164140806,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,nan,0.04
11,fixed_rns,100.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.1948994095693164,26.425143350627287,0.534424176200641,9.033894993902145,33.020191966359576,0.08187386487589057,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,8.0,0.04
11,react_ns,100.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.1284643313967006,25.599562703621505,0.5170033777360848,3.7935154299055354,9.902110098708764,0.11088423610499912,1,1,42.0,2.380952380952381,6.69,4.094761904761905,3.001904761904762,38.04657539250408,0.11219144044673716
