trial_id,mu_max,target_x,target_y,target_z,final_error_m,max_base_angle_deg,base_omega_integral,effort_integral,smoothness_integral,min_manipulability,mean_mu,final_mu,mean_lambda,precision_success,base_stable_success
3,20.0,0.6076350782634485,-0.05898128424882221,0.8743677460970107,0.049287321160515214,32.522232410279564,0.608302913947831,2.9617002238961287,9.417761946225859,0.11151267186587133,14.18409665219268,16.600292974945724,0.10787043839584555,1,1
4,20.0,0.6753527920282326,0.23479504862603945,0.705194969589566,0.2597389148257782,31.074579131866212,0.5663294975949456,3.5158789438560296,9.54964050224701,0.10818631781921755,6.596165745556584,7.722656035758029,0.11177425175225046,0,0
5,20.0,0.5295335526246719,0.06048011156029259,0.5723360396364614,0.20764989829656205,33.209464476462855,0.7055980866131677,3.7347085761531593,10.915966578598256,0.10061778909614505,7.546997503770015,9.27997033764057,0.11469712230269145,1,0
6,20.0,0.7396709101974037,0.11058185942934212,0.8153307090298809,0.20674168429119077,31.291295230435487,0.5634508943255224,3.541433153533456,8.826275212210767,0.11161160174332299,8.254983937812813,9.310104982009328,0.10843383842093132,1,1
7,20.0,0.5740840888454539,0.33095371585668704,0.8625923924627692,0.17212200912664877,26.16360415415742,0.4932804548327213,3.5111901531569507,11.655038038649899,0.08609025533642241,9.055648064024204,10.544365140040908,0.11261024738251386,1,1
8,20.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.24214582729760906,35.67028286601832,0.6995186961916986,3.447300583915167,7.188658575822268,0.10270316783807316,7.0972360077529935,8.21278878087872,0.1116528769409886,1,0
9,20.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.029423560617589543,35.71117066466261,0.6965024412020906,2.5764208815303817,15.310746684676213,0.10892160633881176,14.28914742679314,17.890388573721673,0.11035839713533309,1,0
10,20.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.3484802267655879,30.87835102165712,0.5587982888116919,3.4792975657220286,10.130039848074368,0.10668151735335901,4.903633049868474,5.713911696247038,0.11172197277054279,0,0
11,20.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.1957632074960695,33.91940567625467,0.709318452633747,3.7121129718063077,9.911991307348783,0.11167476236649476,7.994766351671958,9.683165483090923,0.11249961886655557,1,0
12,20.0,0.4954725268674151,0.009208202046856906,0.6294182721678094,0.1361312923153408,33.561096144578975,0.7254448175721292,3.783089545091839,12.196200581932478,0.10032634770262601,9.690238966821092,12.022226332965943,0.11464403011319566,1,0
13,20.0,0.6844348981388786,-0.015851252732985044,0.8414373686202432,0.12751861787252325,32.77013209657799,0.6103658973919547,3.5609158664027634,7.82525411708756,0.10786851195635017,10.893594816694591,12.408566352860174,0.10963075850310194,1,1
14,20.0,0.6950927857007873,-0.09696168310167333,0.8412909304883204,0.1365781062070735,34.16141115430958,0.6468873989227472,3.567369015514873,7.4827465042693735,0.10206241251663432,10.52138518569828,12.002544391161546,0.11124492544355646,1,0
15,20.0,0.7316675251238807,-0.04813905363038662,0.6509148363755854,0.27530326120002613,34.560738567243284,0.674428733209965,3.513558617320426,7.341799036330739,0.10786121704987538,6.299464645756747,7.316883278393582,0.11055821739232295,0,0
16,20.0,0.6888734263912415,-0.20916088565394864,0.6199678708662879,0.2887050078350029,36.167086601646474,0.7245068107474647,3.2937210680894013,7.797697633532403,0.10696756281296829,5.974257658113318,6.987170607283593,0.11086414948825557,0,0
17,20.0,0.4525767944128519,0.21150084537638986,0.7826977998072113,0.0730668039154028,28.55425111398385,0.5499055637761013,3.4373054891136,13.241674933710854,0.07177889713954036,12.056554006536887,15.184811273291832,0.12235868874997526,1,1
